stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
615630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
615700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
615730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
615800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
615831,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
615832,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
616331,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
616332,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
616401,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
616402,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
616432,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
623165,Yukon,AB (IPHC),NA,,NA,,Yukon
625000,NA,AB (Groundfish-Salmon),625000,Unassigned,NA,Outside EEZ,Unassigned
625200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
625300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
625330,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
